text_index	folder_name	sentence_index	sentence_text
1	modelsgenvideo	1	Today we're sharing our first step towards spatial intelligence: an AI system that generates D worlds from a single image.
1	modelsgenvideo	2	This lets you step into any image and explore it in D. Beyond the input image, all is generated: Input Image D World Most GenAI tools make D content like images or videos.
1	modelsgenvideo	3	Generating in D instead improves control and consistency.
1	modelsgenvideo	4	This will change how we make movies, games, simulators, and other digital manifestations of our physical world.
1	modelsgenvideo	5	In this post you'll explore our generated worlds, rendered live in your browser.
1	modelsgenvideo	6	You'll also experience different camera effects, D effects, and dive into classic paintings.
1	modelsgenvideo	7	Finally, you'll see how creators are already building with our models.
1	modelsgenvideo	8	It's your turn to explore some worlds!
1	modelsgenvideo	9	Below we show D worlds generated from fantastical images[] and everyday photos.
1	modelsgenvideo	10	[] Use arrow keys or WASD to move, and click and drag with your mouse to look around:
1	modelsgenvideo	11	Explore the generated world Use WASD keys to move Click and drag to look around Out of bounds Not seeing interactive D?
1	modelsgenvideo	12	Camera Effects Once a scene is generated, it is rendered live in the browser using a virtual camera.
1	modelsgenvideo	13	Precise control over this camera enables artistic photographic effects.
1	modelsgenvideo	14	We can simulate a shallow depth of field, where only objects at a certain distance from the camera are in focus: Near Far Move the slider to adjust the focus distance Use WASD keys to move Click and drag to look around Out of bounds
1	modelsgenvideo	15	We can also simulate a dolly zoom which adjusts a camera's position and field of view at the same time: Wide Narrow Move the slider to dolly zoom You can't move in this scene Out of bounds D Effects
1	modelsgenvideo	16	Predicting a D scene instead has many benefits: Persistent Reality: Once a world is generated, it's there to stay.
1	modelsgenvideo	17	The scene won't change behind your back if you look away and come back.
1	modelsgenvideo	18	Real-Time Control: After generating a scene, you can move around it in real-time.
1	modelsgenvideo	19	You can linger on the details of a flower, or peek around a corner to see what is revealed.
1	modelsgenvideo	20	Our generated worlds obey basic physical rules of D geometry.
1	modelsgenvideo	21	They have a sense of solidity and depth that contrasts with the dream-like nature of some AI-generated video.
1	modelsgenvideo	22	The simplest way to visualize the D scene is a depth map where each pixel is colored by its distance to the camera: ColorDepth NearFar Change effects with the buttons above Use WASD keys to move Click and drag to look around Out of bounds We can use the D scene structure to build interactive effects click on the scene to interact with it!
1	modelsgenvideo	23	Use WASD keys to move Click and drag to look around Out of bounds
1	modelsgenvideo	24	We can also build effects that passively animate the scene:
1	modelsgenvideo	25	RustleWavesColor WaveNone Change effects with the buttons above Use WASD keys to move Click and drag to look around Out of bounds Step into Paintings World generation allows you to experience iconic pieces of art in a new way.
1	modelsgenvideo	26	We generated worlds from our favorite pieces[] by van Gogh, Hopper, Seurat, and Kandinsky.
1	modelsgenvideo	27	Anything not in the original painting was generated by our model.
1	modelsgenvideo	28	Explore the generated world Use WASD keys to move Click and drag to look around Out of bounds Creative Workflows D world generation naturally composes with other AI tools.
1	modelsgenvideo	29	This allows creators to work with tools they already know to enable new experiences.
1	modelsgenvideo	30	For example, we can create worlds from text by first generating an image using a text-to- image model.
1	modelsgenvideo	31	Different models have their own style which our worlds can inherit.
1	modelsgenvideo	32	Here we generate four variants of the same scene using different text-to-image models,[] all using the same prompt: A vibrant cartoon-style teenager's bedroom with a bed covered in colorful blankets, a cluttered desk with a computer, posters on the walls, and scattered sports gear.
1	modelsgenvideo	33	A guitar leans against the wall, and a cozy, patterned rug is in the center.
1	modelsgenvideo	34	Light from a window adds a warm, youthful vibe to the room.
1	modelsgenvideo	35	Explore the generated world Use WASD keys to move Click and drag to look around Out of bounds We've given a few creators an early sneak peek at our technology to begin experimenting with the possibilities enabled by a D-native generative AI workflow.
1	modelsgenvideo	36	Eric Solorio shows how our models fill a gap in his creative workflow, making it easy to stage characters within scenes and direct precise camera movements: Brittani Natali lays out carefully crafted camera paths through our generated worlds to evoke different moods across three short films, using a workflow combining World Labs' technology with tools like Midjourney, Runway, Suno, ElevenLabs, Blender, and CapCut: Looking Ahead These results are our first early preview of generating D worlds.
1	modelsgenvideo	37	We are hard at work improving the size and fidelity of our generated worlds, and experimenting with new ways for users to interact with them.
1	modelsgenvideo	38	Keep up with our future releases via our waitlist, or get in touch at hello@worldlabs.ai.
1	modelsgenvideo	39	If you're excited to help us realize this vision, join us!
1	modelsgenvideo	40	This post was produced by the World Labs technical staff.
1	modelsgenvideo	41	[] Unless otherwise specified, all images on this page were generated using FLUX .
1	modelsgenvideo	42	[] [] Photo credits: Keunhong Park, Ben Mildenhall.
1	modelsgenvideo	43	[] [] From left to right: Caf Terrace at Night, Vincent van Gogh, ; Nighthawks, Edward Hopper, ; Ville D' Avray, White Houses, Georges Pierre Seurat, ; Murnau - Landscape with Green House, Wassily Kandinsky, [] [] From left to right: FLUX, Midjourney, Ideogram, DALL-E
2	modelsgenvideo	1	//, : Pika AI: Pika .
2	modelsgenvideo	2	The Wayback Machine - https://web.archive.org/web//https://pikartai.com/pika--/ Pika AI Home Pika .
2	modelsgenvideo	3	Pika Labs Prompt FAQs Pricing Contact Us Search by keyword keywords Pika .
2	modelsgenvideo	4	Revolutionizing AI Video Generation Pika .
2	modelsgenvideo	5	is the latest version of the AI video generator developed by Pika Labs, designed to enhance the process of video creation with a variety of advanced features and tools.
2	modelsgenvideo	6	Released as a signicant upgrade from its predecessor, Pika .
2	modelsgenvideo	7	pushes the boundaries of what is possible in AI-generated video production.
